week_day,title,k_calories,category
0,Bife ao molho escuro,330,Carne
0,Bife de frango acebolado,257,Carne
0,Acelga,9,Acompanhamento
0,Alface,5,Acompanhamento
0,Salada japonesa,33,Acompanhamento
0,Alface,5,Acompanhamento
0,Beterraba ralada,11,Acompanhamento
0,Torta de aipim *lactose,171,Acompanhamento
0,Vagem conserva,147,Acompanhamento
0,Salada multicor,8,Acompanhamento
0,Gelatina,57,Sobremesa
1,Bife de frango acebolado,257,Carne
1,Bife ao molho escuro,330,Carne
1,Refogado de espinafre com repolho e cenoura,32,Acompanhamento
1,Chucrute conserva,26,Acompanhamento
1,Salada marroquina,13,Acompanhamento
1,Salada de tomate,33,Acompanhamento
1,Batata palha,320,Acompanhamento
1,Salada de repolho,6,Acompanhamento
1,Almeirão,6,Acompanhamento
1,Macarrão integral à mineira *glúten,241,Acompanhamento
1,Gelatina,57,Sobremesa
2,Tilápia ao molho de tomate,277,Carne
2,Bife à cigana,266,Carne
2,Chuchu refogado,18,Acompanhamento
2,Refogado de espinafre com repolho e cenoura,32,Acompanhamento
2,Salada de cenoura cozida,38,Acompanhamento
2,Alface,5,Acompanhamento
2,Alface,5,Acompanhamento
2,Vagem soutê,82,Acompanhamento
2,Rúcula com semente de girassol,40,Acompanhamento
2,Agrião,8,Acompanhamento
2,Pudim brigadeiro *lactose,172,Sobremesa
3,Frango na cerveja *glúten,303,Carne
3,Filezinho de frango ao molho rosê *glúten*lactose,218,Carne
3,Vagem conserva,147,Acompanhamento
3,Omelete com tomate,78,Acompanhamento
3,Nabo ralado,22,Acompanhamento
3,Rúcula com semente de girassol,40,Acompanhamento
3,Alface,5,Acompanhamento
3,Refogado de espinafre com repolho e cenoura,32,Acompanhamento
3,Manjar de coco com calda de mirtilos *lactose,119,Sobremesa
4,Frango na cerveja *glúten,303,Carne
4,Bife de frango acebolado,257,Carne
4,Vagem conserva,147,Acompanhamento
4,Agrião,8,Acompanhamento
4,Salada japonesa,33,Acompanhamento
4,Torta de aipim *lactose,171,Acompanhamento
4,Salada marroquina,13,Acompanhamento
4,Beterraba ralada,11,Acompanhamento
4,Alface,5,Acompanhamento
4,Refogado de espinafre com repolho e cenoura,32,Acompanhamento
4,Pudim brigadeiro *lactose,172,Sobremesa
5,Frango assado,267,Carne
5,Bife de frango acebolado,257,Carne
5,Salada italiana,9,Acompanhamento
5,Polenta cremosa,136,Acompanhamento
5,Salada verão,6,Acompanhamento
5,Vagem conserva,147,Acompanhamento
5,Salada multicor,8,Acompanhamento
5,Pimentão colorido,27,Acompanhamento
5,Creme de tapioca *glúten*lactose,61,Sobremesa
