week_day,title,k_calories
Segunda,Frango assado,267
Segunda,Caçarola ao molho de ervilhas,452
Segunda,Omelete com tomate,78
Segunda,Polenta com queijo *lactose,350
Segunda,Abobrinha soutê,42
Segunda,Alface,5
Segunda,Cenoura ralada,50
Segunda,Salada de alho poró,8
Segunda,Pimentão colorido,27
Segunda,Beterraba ralada,11
Segunda,Bananinha *glúten*lactose,110
Terca,Bife à grega,353
Terca,Peixe com azeite e ervas,374
Terca,Batata no vapor,126
Terca,Berinjela com azeitonas e uva passas,34
Terca,Alface,5
Terca,Rabanete,5
Terca,Tomate com cebola,23
Terca,Radite,11
Terca,Salada de vagem,30
Terca,Pudim prestígio *lactose,185
Quarta,Frango xadrez,239
Quarta,Bife de pernil grelhado,443
Quarta,Macarrão ao alho e óleo *glúten,269
Quarta,Couve refogada,33
Quarta,Agrião,8
Quarta,Salada de tomate,33
Quarta,Salada mimosa,10
Quarta,Chicória,6
Quarta,Couve-flor conserva,23
Quarta,Sagu de vinho com gengibre,84
Quinta,Frango ao vinho,267
Quinta,Escalope bovino ao molho sugo,274
Quinta,Ovo,141
Quinta,Batata doce,119
Quinta,Cenoura com ervas,53
Quinta,Salada italiana,9
Quinta,Nabo ralado,22
Quinta,Salada surpresa,4
Quinta,Pepino picante,37
Quinta,Grão de bico conserva,73
Quinta,Gelatina,57
Sexta,Bisteca grelhada,450
Sexta,Filezinho de frango empanado *glúten,254
Sexta,Aipim soutê,213
Sexta,Repolho roxo agridoce,45
Sexta,Escarola frissé,5
Sexta,Acelga,9
Sexta,Salada mista III,10
Sexta,Cenoura com ervilhas,86
Sexta,Pepino conserva,17
Sexta,Picolé *lactose,95
